Application,Category,Detail,Start Time,End Time,Duration (seconds)
ChatGPT and 20 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 20 more pages - Personal,2025-01-10 18:53:56,2025-01-10 18:54:23,27.018569
● time_tracker.py - TimeTracker - Visual Studio Code,Application,,2025-01-10 18:54:23,2025-01-10 18:54:44,21.014024
ChatGPT and 20 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 20 more pages - Personal,2025-01-10 18:54:44,2025-01-10 18:54:51,7.004733
● time_tracker.py - TimeTracker - Visual Studio Code,Application,,2025-01-10 18:54:51,2025-01-10 18:55:22,31.019767
flask_server.py - TimeTracker - Visual Studio Code,Application,,2025-01-10 18:55:22,2025-01-10 18:55:42,20.02103
ChatGPT and 20 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 20 more pages - Personal,2025-01-10 18:55:42,2025-01-10 18:56:23,41.025358
● time_tracker.py - TimeTracker - Visual Studio Code,Application,N/A,2025-01-10 18:57:52,2025-01-10 18:57:55,3.012507
ChatGPT and 20 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 20 more pages - Personal,2025-01-10 18:57:55,2025-01-10 18:58:00,5.003637
Autocomplete in Terminal : r/vscode and 20 more pages - Personal - Microsoft​ Edge,Browser,Autocomplete in Terminal : r/vscode and 20 more pages - Personal,2025-01-10 18:58:00,2025-01-10 18:58:05,5.004097
Chrome Web Store - Developer Tools and 20 more pages - Personal - Microsoft​ Edge,Browser,Chrome Web Store - Developer Tools and 20 more pages - Personal,2025-01-10 18:58:05,2025-01-10 18:58:08,3.003381
YouTube and 20 more pages - Personal - Microsoft​ Edge,Browser,YouTube and 20 more pages - Personal,2025-01-10 18:58:08,2025-01-10 18:58:13,5.004183
Chrome Web Store - Developer Tools and 20 more pages - Personal - Microsoft​ Edge,Browser,Chrome Web Store - Developer Tools and 20 more pages - Personal,2025-01-10 18:58:13,2025-01-10 18:58:14,1.001987
Task Switching,Application,N/A,2025-01-10 18:58:14,2025-01-10 18:58:17,3.003284
YouTube and 20 more pages - Personal - Microsoft​ Edge,Browser,YouTube and 20 more pages - Personal,2025-01-10 18:58:17,2025-01-10 18:58:19,2.001451
Task Switching,Application,N/A,2025-01-10 18:58:19,2025-01-10 18:58:20,1.001644
